- name sven@i; moonlat 12.969331629915382; moonlng -7.638264027398643; score 844.2112904349443; timestamp 2018-05-26 15:38:43.131296; status received; version 2; 
- name sven@i; moonlat 12.672714549089772; moonlng -8.54704903646632; score 880.2910607325595; timestamp 2018-05-26 15:38:51.133690; status received; version 2; 
- name sven@i; moonlat 12.831123480953394; moonlng -8.653887149422149; score 908.6064138268636; timestamp 2018-05-26 15:40:05.890813; status received; version 2; 
- name sven@i; moonlat 12.969331629915382; moonlng -7.638264027398643; score 909.7930099669003; timestamp 2018-05-26 15:41:38.543596; status received; version 2; 
- name sven@i; moonlat 12.969331629915382; moonlng -7.638264027398643; score 904.7246277996186; timestamp 2018-05-26 15:42:06.111991; status received; version 2; 
- name sven@i; moonlat 12.98199699283522; moonlng -7.502115127911187; score 904.8405325904073; timestamp 2018-05-26 15:43:57.717943; status received; version 2; 
- name sven@i; moonlat 12.98832967429514; moonlng -7.4340406781674595; score 910.9722914179692; timestamp 2018-05-26 15:44:19.011111; status received; version 2; 
- name sven@i; moonlat 12.9914960150251; moonlng -7.400003453295596; score 914.4987785351785; timestamp 2018-05-26 15:44:34.368337; status received; version 2; 
- name sven@i; moonlat 12.991891807616344; moonlng -7.395748800186613; score 916.3311699325316; timestamp 2018-05-26 15:45:39.409011; status received; version 2; 
- name sven@i; moonlat 12.969331629915382; moonlng -7.638264027398643; score 864.3671601096917; timestamp 2018-05-26 15:48:34.867764; status received; version 2; 
- name sven@i; moonlat 13.050389952602355; moonlng -7.113133375514986; score 871.8001031243308; timestamp 2018-05-26 15:49:30.739997; status received; version 2; 
